INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (1, 'Dzia³_1', 'D', 'Opis dzia³u_1');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (2, 'Dzia³_2', 'B', 'Opis dzia³u_2');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (3, 'Dzia³_3', 'B', 'Opis dzia³u_3');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (4, 'Dzia³_4', 'C', 'Opis dzia³u_4');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (5, 'Dzia³_5', 'B', 'Opis dzia³u_5');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (6, 'Dzia³_6', 'C', 'Opis dzia³u_6');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (7, 'Dzia³_7', 'C', 'Opis dzia³u_7');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (8, 'Dzia³_8', 'D', 'Opis dzia³u_8');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (9, 'Dzia³_9', 'A', 'Opis dzia³u_9');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (10, 'Dzia³_10', 'A', 'Opis dzia³u_10');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (11, 'Dzia³_11', 'B', 'Opis dzia³u_11');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (12, 'Dzia³_12', 'B', 'Opis dzia³u_12');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (13, 'Dzia³_13', 'C', 'Opis dzia³u_13');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (14, 'Dzia³_14', 'A', 'Opis dzia³u_14');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (15, 'Dzia³_15', 'D', 'Opis dzia³u_15');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (16, 'Dzia³_16', 'C', 'Opis dzia³u_16');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (17, 'Dzia³_17', 'A', 'Opis dzia³u_17');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (18, 'Dzia³_18', 'D', 'Opis dzia³u_18');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (19, 'Dzia³_19', 'D', 'Opis dzia³u_19');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (20, 'Dzia³_20', 'C', 'Opis dzia³u_20');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (21, 'Dzia³_21', 'A', 'Opis dzia³u_21');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (22, 'Dzia³_22', 'A', 'Opis dzia³u_22');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (23, 'Dzia³_23', 'C', 'Opis dzia³u_23');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (24, 'Dzia³_24', 'D', 'Opis dzia³u_24');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (25, 'Dzia³_25', 'A', 'Opis dzia³u_25');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (26, 'Dzia³_26', 'A', 'Opis dzia³u_26');
INSERT INTO dzialy_produktowe (id_dzialu, nazwa_dzialu, sektor_magazynu, opis_dzialu) VALUES (27, 'Dzia³_27', 'D', 'Opis dzia³u_27');
