INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (1, '418187901176', 'QMKZ3', DATE '2020-1-1', 501, 1455.8, 'AFIQZNQCHD', 79);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (2, '657584804941', 'HATXJ', DATE '2020-1-2', 519, 210.82, 'HSHXOXARJY', 64);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (3, '768691768750', 'PRWLF', DATE '2020-1-3', 190, 113.02, 'HYDYXXRUBF', 7);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (4, '112906199473', 'V61V0', DATE '2020-1-4', 26, 1578.62, 'ROFMZZUYYO', 16);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (5, '061915455832', 'SR79H', DATE '2020-1-5', 879, 510.28, 'HCJVPZCWPW', 44);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (6, '187443159526', 'GQK19', DATE '2020-1-6', 302, 1766.45, 'GZTKRSTGHH', 80);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (7, '458007175077', 'RCDG5', DATE '2020-1-7', 352, 1742.84, 'HIFUXZOJUA', 42);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (8, '360998447136', 'DLAFF', DATE '2020-1-8', 231, 272.55, 'FECQTKAALY', 98);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (9, '575791698804', 'QEN2W', DATE '2020-1-9', 924, 1413.02, 'LJGMNWTDVA', 89);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (10, '912479163491', '1870K', DATE '2020-1-10', 765, 215.85, 'USJJXUJIRH', 55);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (11, '935897103679', '35JPX', DATE '2020-1-11', 420, 996.45, 'DGORKYSEJE', 63);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (12, '302383420546', 'P3N8W', DATE '2020-1-12', 996, 1308.2, 'TWTPXDIFFP', 76);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (13, '726325460643', '82WXB', DATE '2020-1-13', 110, 635.42, 'LRPPVKBTHW', 66);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (14, '250455199621', 'NLE6T', DATE '2020-1-14', 241, 643.45, 'ZNAEISXAPJ', 49);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (15, '099907194422', 'BGPJW', DATE '2020-1-15', 792, 1626.63, 'XETPHVAKUE', 99);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (16, '968101871264', 'W7MY7', DATE '2020-1-16', 192, 1780.71, 'UNVLQQXDUZ', 3);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (17, '288730547485', 'Q3MDW', DATE '2020-1-17', 389, 276.37, 'CLUUVLMJRG', 74);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (18, '022346686096', '7WQIF', DATE '2020-1-18', 687, 569.89, 'CPAHGSYLVG', 27);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (19, '336207854050', 'S99MO', DATE '2020-1-19', 610, 966.7, 'IDHQOEAXHD', 29);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (20, '437091844631', 'JTERC', DATE '2020-1-20', 754, 966.38, 'KRWNSEXVVP', 92);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (21, '011541657161', 'O5K50', DATE '2020-1-21', 28, 908.92, 'BQPADSLISI', 10);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (22, '280448365638', '6MI0U', DATE '2020-1-22', 6, 1830.13, 'OLGZZNJJIY', 99);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (23, '231201637035', '1GQLG', DATE '2020-1-23', 859, 632.94, 'UISTFFNNGI', 21);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (24, '536913422703', 'M2BDK', DATE '2020-1-24', 942, 1319.68, 'CWQNYQLWRI', 34);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (25, '437310858942', 'NBS8O', DATE '2020-1-25', 71, 1811.1, 'AVPYAKFYUS', 15);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (26, '315241336813', 'DGXSA', DATE '2020-1-26', 256, 40.91, 'BAJDTHPXQT', 54);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (27, '267979281895', 'E7HEZ', DATE '2020-1-27', 26, 564.13, 'DHQWVXAPMY', 7);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (28, '949066025879', 'VDEFS', DATE '2020-1-28', 314, 1641.11, 'EHNOGLDHUB', 51);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (29, '911146741791', 'DUNSP', DATE '2020-2-1', 746, 1801.2, 'WLTHELEPLH', 44);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (30, '669769665169', 'IPIGE', DATE '2020-2-2', 253, 1568.64, 'UMEWBRDBEZ', 24);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (31, '808784512957', 'B7F07', DATE '2020-2-3', 716, 1673.04, 'OZDURRACPT', 46);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (32, '674746604922', 'BT8CB', DATE '2020-2-4', 945, 908.87, 'YYPZTHKXTN', 15);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (33, '567678656955', 'JBEQ9', DATE '2020-2-5', 500, 948.36, 'XACSGCJXKI', 37);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (34, '641896731256', '3N36B', DATE '2020-2-6', 175, 1135.22, 'CORIQLMVDJ', 41);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (35, '924860577105', 'A53T9', DATE '2020-2-7', 266, 4.56, 'ZCDPALDAAZ', 85);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (36, '960313646191', 'FP3TM', DATE '2020-2-8', 100, 291.37, 'JEKTCASYIO', 59);
INSERT INTO pracownicy (id_produktu, kod_produktu, kod_regalu, data_dodania, dostepnych_sztuk, cena_produktu, opis_produktu, dzialy_produktowe_id_dzialu) VALUES (37, '799454616625', '6X438', DATE '2020-2-9', 480, 715.53, 'UZRZRGNYZP', 21);
