INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (1, 'Stanowisko_1', 8133.88, 'Zakres obowiazkow_1');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (2, 'Stanowisko_2', 4362.14, 'Zakres obowiazkow_2');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (3, 'Stanowisko_3', 5793.31, 'Zakres obowiazkow_3');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (4, 'Stanowisko_4', 4145.05, 'Zakres obowiazkow_4');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (5, 'Stanowisko_5', 3217.45, 'Zakres obowiazkow_5');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (6, 'Stanowisko_6', 7477.94, 'Zakres obowiazkow_6');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (7, 'Stanowisko_7', 7468.16, 'Zakres obowiazkow_7');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (8, 'Stanowisko_8', 5982.08, 'Zakres obowiazkow_8');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (9, 'Stanowisko_9', 6417.19, 'Zakres obowiazkow_9');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (10, 'Stanowisko_10', 3140.88, 'Zakres obowiazkow_10');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (11, 'Stanowisko_11', 4640.06, 'Zakres obowiazkow_11');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (12, 'Stanowisko_12', 5848.31, 'Zakres obowiazkow_12');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (13, 'Stanowisko_13', 5504.61, 'Zakres obowiazkow_13');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (14, 'Stanowisko_14', 7620.78, 'Zakres obowiazkow_14');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (15, 'Stanowisko_15', 7592.4, 'Zakres obowiazkow_15');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (16, 'Stanowisko_16', 4568.53, 'Zakres obowiazkow_16');
INSERT INTO stanowiska (id_stanowiska, nazwa_stanowiska, pensja_miesieczna, zakres_obowiazkow) VALUES (17, 'Stanowisko_17', 3556.22, 'Zakres obowiazkow_17');
