INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (1, 1294.57, DATE '2022-6-1', 0.0, 'LYYWVUFSRV', 51, 93, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (2, 1530.93, DATE '2022-6-2', 961, 'NFYFOBXSVK', 27, 87, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (3, 421.46, DATE '2022-6-3', 0.0, 'XGIONFTSBD', 65, 100, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (4, 412.48, DATE '2022-6-4', 411, 'YGRYQZSYEB', 59, 19, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (5, 2209.27, DATE '2022-6-5', 0.0, 'GTVGXOLWWF', 76, 19, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (6, 2984.76, DATE '2022-6-6', 802, 'WSXUVYZQTP', 49, 86, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (7, 2605.51, DATE '2022-6-7', 0.0, 'TBPHTHVPKB', 52, 34, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (8, 2743.47, DATE '2022-6-8', 902, 'NAPGSDYFWA', 32, 71, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (9, 716.02, DATE '2022-6-9', 0.0, 'EJEFSBGZMD', 65, 29, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (10, 424.34, DATE '2022-6-10', 615, 'LZWGKXFQWI', 37, NULL, 3);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (11, 1698.4, DATE '2022-6-11', 0.0, 'WZIGFHPJYQ', 37, 9, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (12, 1028.25, DATE '2022-6-12', 714, 'FKHPDPSGRJ', 39, 35, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (13, 1157.0, DATE '2022-6-13', 0.0, 'OGGMEOEKNQ', 71, 68, NULL);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (14, 400.09, DATE '2022-6-14', 400, 'GVPSOPCWCI', 57, NULL, 69);
INSERT INTO zamowienia (id_zamowienia, kwota, data_utw, rabat, inf_dodatkowe, pracownicy_id_pracownika, firmy_zamawiajace_id_firmy, klienci_detaliczni_id_klienta) VALUES (15, 2031.52, DATE '2022-6-15', 0.0, 'CWYXCVLAOL', 71, NULL, 20);
